Participant,Question,Selected Option,Correct Option,Matches Answer Key
person1,Q1,B,B,True
person1,Q2,A,A,True
person1,Q3,B,B,True
person1,Q4,B,B,True
person1,Q5,A,A,True
person1,Q6,B,B,True
person1,Q7,B,B,True
person1,Q8,A,B,False
person1,Q9,B,B,True
person1,Q10,B,A,False
person1,Q11,B,B,True
person1,Q12,A,B,False
person1,Q13,B,A,False
person1,Q14,A,A,True
person1,Q15,B,B,True
person1,Q16,A,A,True
person1,Q17,B,B,True
person1,Q18,B,B,True
person1,Q19,B,A,False
person1,Q20,A,B,False
person2,Q1,B,B,True
person2,Q2,A,A,True
person2,Q3,B,B,True
person2,Q4,B,B,True
person2,Q5,A,A,True
person2,Q6,B,B,True
person2,Q7,B,B,True
person2,Q8,B,B,True
person2,Q9,B,B,True
person2,Q10,A,A,True
person2,Q11,B,B,True
person2,Q12,B,B,True
person2,Q13,B,A,False
person2,Q14,B,A,False
person2,Q15,B,B,True
person2,Q16,B,A,False
person2,Q17,B,B,True
person2,Q18,B,B,True
person2,Q19,B,A,False
person2,Q20,A,B,False
person3,Q1,B,B,True
person3,Q2,A,A,True
person3,Q3,B,B,True
person3,Q4,B,B,True
person3,Q5,A,A,True
person3,Q6,B,B,True
person3,Q7,B,B,True
person3,Q8,B,B,True
person3,Q9,B,B,True
person3,Q10,A,A,True
person3,Q11,B,B,True
person3,Q12,A,B,False
person3,Q13,A,A,True
person3,Q14,A,A,True
person3,Q15,B,B,True
person3,Q16,A,A,True
person3,Q17,A,B,False
person3,Q18,A,B,False
person3,Q19,B,A,False
person3,Q20,B,B,True
person4,Q1,A,B,False
person4,Q2,A,A,True
person4,Q3,A,B,False
person4,Q4,B,B,True
person4,Q5,B,A,False
person4,Q6,B,B,True
person4,Q7,A,B,False
person4,Q8,A,B,False
person4,Q9,A,B,False
person4,Q10,B,A,False
person4,Q11,B,B,True
person4,Q12,A,B,False
person4,Q13,B,A,False
person4,Q14,B,A,False
person4,Q15,A,B,False
person4,Q16,A,A,True
person4,Q17,A,B,False
person4,Q18,A,B,False
person4,Q19,B,A,False
person4,Q20,B,B,True
