Question,Correct Option,Matches Answer Key,Participants,Agreement with Answer Key (%),Selected A,Selected B,Majority Choice
Q1,B,3,4,75.0,1,3,B
Q2,A,4,4,100.0,4,0,A
Q3,B,3,4,75.0,1,3,B
Q4,B,4,4,100.0,0,4,B
Q5,A,3,4,75.0,3,1,A
Q6,B,4,4,100.0,0,4,B
Q7,B,3,4,75.0,1,3,B
Q8,B,2,4,50.0,2,2,Tie
Q9,B,3,4,75.0,1,3,B
Q10,A,2,4,50.0,2,2,Tie
Q11,B,4,4,100.0,0,4,B
Q12,B,1,4,25.0,3,1,A
Q13,A,1,4,25.0,1,3,B
Q14,A,2,4,50.0,2,2,Tie
Q15,B,3,4,75.0,1,3,B
Q16,A,3,4,75.0,3,1,A
Q17,B,2,4,50.0,2,2,Tie
Q18,B,2,4,50.0,2,2,Tie
Q19,A,0,4,0.0,0,4,B
Q20,B,2,4,50.0,2,2,Tie
